Diresa,Red,Microred,EESS,Dpto_EESS,Prov_EESS,Dist_EESS,Renipress
AMAZONAS,BAGUA,ARAMANGO,I-1   - 00005054 - MIRAFLORES DE ARAMANGO,AMAZONAS,BAGUA,ARAMANGO,5054
AMAZONAS,BAGUA,ARAMANGO,I-1   - 00005061 - SHAIM,AMAZONAS,BAGUA,ARAMANGO,5061
AMAZONAS,BAGUA,ARAMANGO,I-1   - 00007008 - CHINGANZA,AMAZONAS,BAGUA,ARAMANGO,7008
AMAZONAS,BAGUA,ARAMANGO,I-1   - 00007009 - MONTENEGRO,AMAZONAS,BAGUA,ARAMANGO,7009
AMAZONAS,BAGUA,ARAMANGO,I-1   - 00007228 - NAJEM,AMAZONAS,BAGUA,ARAMANGO,7228
AMAZONAS,BAGUA,ARAMANGO,I-1   - 00007263 - GUAYAQUIL,AMAZONAS,BAGUA,ARAMANGO,7263
AMAZONAS,BAGUA,ARAMANGO,I-1   - 00007264 - EL CEDRON,AMAZONAS,BAGUA,ARAMANGO,7264
AMAZONAS,BAGUA,ARAMANGO,I-2   - 00005058 - NUMPARKET,AMAZONAS,BAGUA,ARAMANGO,5058
AMAZONAS,BAGUA,ARAMANGO,I-2   - 00005059 - TUTUMBEROS,AMAZONAS,BAGUA,ARAMANGO,5059
AMAZONAS,BAGUA,ARAMANGO,I-3   - 00005053 - ARAMANGO,AMAZONAS,BAGUA,ARAMANGO,5053
AMAZONAS,BAGUA,BAGUA,I-1   - 00005045 - ESPITAL,AMAZONAS,BAGUA,BAGUA,5045
AMAZONAS,BAGUA,BAGUA,I-1   - 00005046 - SAN ISIDRO,AMAZONAS,BAGUA,LA PECA,5046
AMAZONAS,BAGUA,BAGUA,I-1   - 00005047 - CRUCE ALENYA,AMAZONAS,BAGUA,BAGUA,5047
AMAZONAS,BAGUA,BAGUA,I-1   - 00005048 - TOMAQUE,AMAZONAS,BAGUA,BAGUA,5048
AMAZONAS,BAGUA,BAGUA,I-1   - 00007007 - ACERILLO,AMAZONAS,BAGUA,BAGUA,7007
AMAZONAS,BAGUA,BAGUA,I-1   - 00007262 - TOLOPAMPA,AMAZONAS,BAGUA,EL PARCO,7262
AMAZONAS,BAGUA,BAGUA,I-1   - 00007276 - LA PRIMAVERA,AMAZONAS,BAGUA,BAGUA,7276
AMAZONAS,BAGUA,BAGUA,I-1   - 00007299 - ALENYA,AMAZONAS,BAGUA,COPALLIN,7299
AMAZONAS,BAGUA,BAGUA,I-1   - 00007758 - UNION PROGRESO,AMAZONAS,BAGUA,EL PARCO,7758
AMAZONAS,BAGUA,BAGUA,I-1   - 00007759 - CASUAL,AMAZONAS,BAGUA,BAGUA,7759
AMAZONAS,BAGUA,BAGUA,I-3   - 00005193 - EL PARCO,AMAZONAS,BAGUA,EL PARCO,5193
AMAZONAS,BAGUA,BAGUA,I-3   - 00006998 - BAGUA,AMAZONAS,BAGUA,BAGUA,6998
AMAZONAS,BAGUA,CHIPE,I-1   - 00005072 - KUSU,AMAZONAS,BAGUA,IMAZA,5072
AMAZONAS,BAGUA,CHIPE,I-1   - 00005073 - NUMPATKAIM,AMAZONAS,BAGUA,IMAZA,5073
AMAZONAS,BAGUA,CHIPE,I-1   - 00005074 - JEMPEST-CHICAIS,AMAZONAS,BAGUA,IMAZA,5074
AMAZONAS,BAGUA,CHIPE,I-1   - 00007232 - NUEVA VIDA,AMAZONAS,BAGUA,IMAZA,7232
AMAZONAS,BAGUA,CHIPE,I-1   - 00007233 - SAN PABLO,AMAZONAS,BAGUA,IMAZA,7233
AMAZONAS,BAGUA,CHIPE,I-1   - 00007234 - LISTRA,AMAZONAS,BAGUA,IMAZA,7234
AMAZONAS,BAGUA,CHIPE,I-3   - 00005071 - CHIPE,AMAZONAS,BAGUA,IMAZA,5071
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00005085 - SHUSHUG,AMAZONAS,BAGUA,IMAZA,5085
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00005086 - WAWAIN,AMAZONAS,BAGUA,IMAZA,5086
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00005087 - PAKUIT,AMAZONAS,BAGUA,IMAZA,5087
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00005090 - SHIMPUENTS,AMAZONAS,BAGUA,IMAZA,5090
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00005091 - NAYUMPIN,AMAZONAS,BAGUA,IMAZA,5091
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00007001 - SUKUTIN,AMAZONAS,BAGUA,IMAZA,7001
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00007003 - NAZARETH,AMAZONAS,BAGUA,IMAZA,7003
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00007136 - SAN RAFAEL,AMAZONAS,BAGUA,IMAZA,7136
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00012774 - SAN RAMON,AMAZONAS,BAGUA,IMAZA,12774
AMAZONAS,BAGUA,CHIRIACO,I-1   - 00014208 - DURAND,AMAZONAS,BAGUA,IMAZA,14208
AMAZONAS,BAGUA,CHIRIACO,I-2   - 00005088 - SAMAREN-YUPICUSA,AMAZONAS,BAGUA,IMAZA,5088
AMAZONAS,BAGUA,CHIRIACO,I-2   - 00005089 - WAWAS,AMAZONAS,BAGUA,IMAZA,5089
AMAZONAS,BAGUA,CHIRIACO,I-3   - 00005084 - CHIRIACO,AMAZONAS,BAGUA,IMAZA,5084
AMAZONAS,BAGUA,COPALLIN,I-1   - 00005064 - PAN DE AZUCAR,AMAZONAS,BAGUA,COPALLIN,5064
AMAZONAS,BAGUA,COPALLIN,I-1   - 00005065 - CHONZA LAGUNA,AMAZONAS,BAGUA,COPALLIN,5065
AMAZONAS,BAGUA,COPALLIN,I-1   - 00007005 - SANTA CRUZ DE MOROCHAL,AMAZONAS,BAGUA,COPALLIN,7005
AMAZONAS,BAGUA,COPALLIN,I-2   - 00007004 - LLUHUANA,AMAZONAS,BAGUA,COPALLIN,7004
AMAZONAS,BAGUA,COPALLIN,I-3   - 00005063 - COPALLIN,AMAZONAS,BAGUA,COPALLIN,5063
AMAZONAS,BAGUA,EL MUYO,I-1   - 00005060 - LA LIBERTAD,AMAZONAS,BAGUA,ARAMANGO,5060
AMAZONAS,BAGUA,EL MUYO,I-1   - 00005062 - ZAPOTAL,AMAZONAS,BAGUA,ARAMANGO,5062
AMAZONAS,BAGUA,EL MUYO,I-1   - 00007727 - SAN JUAN DE DIOS,AMAZONAS,BAGUA,ARAMANGO,7727
AMAZONAS,BAGUA,EL MUYO,I-3   - 00005056 - EL MUYO,AMAZONAS,BAGUA,ARAMANGO,5056
AMAZONAS,BAGUA,IMAZA,I-1   - 00005079 - UUT,AMAZONAS,BAGUA,IMAZA,5079
AMAZONAS,BAGUA,IMAZA,I-1   - 00007002 - WANTSA,AMAZONAS,BAGUA,IMAZA,7002
AMAZONAS,BAGUA,IMAZA,I-1   - 00007230 - YAMAYAKAT,AMAZONAS,BAGUA,IMAZA,7230
AMAZONAS,BAGUA,IMAZA,I-1   - 00007231 - TENASHNUM,AMAZONAS,BAGUA,IMAZA,7231
AMAZONAS,BAGUA,IMAZA,I-1   - 00014209 - KUSU GRANDE,AMAZONAS,BAGUA,IMAZA,14209
AMAZONAS,BAGUA,IMAZA,I-2   - 00005082 - WAJUYAT,AMAZONAS,BAGUA,IMAZA,5082
AMAZONAS,BAGUA,IMAZA,I-2   - 00005194 - KUNCHIN,AMAZONAS,BAGUA,IMAZA,5194
AMAZONAS,BAGUA,IMAZA,I-2   - 00007435 - MESONES MURO,AMAZONAS,BAGUA,IMAZA,7435
