ubigeo_inei,Sexo,Población
10101.0,F,1068
10101.0,M,1078
10102.0,F,13
10102.0,M,11
10103.0,F,98
10103.0,M,96
10104.0,F,32
10104.0,M,25
10105.0,F,35
10105.0,M,30
10106.0,F,117
10106.0,M,115
10107.0,F,27
10107.0,M,14
10108.0,F,20
10108.0,M,27
10109.0,F,350
10109.0,M,374
10110.0,F,210
10110.0,M,199
10111.0,F,47
10111.0,M,41
10112.0,F,35
10112.0,M,34
10113.0,F,53
10113.0,M,42
10114.0,F,147
10114.0,M,118
10115.0,F,26
10115.0,M,26
10116.0,F,18
10116.0,M,13
10117.0,F,36
10117.0,M,33
10118.0,F,13
10118.0,M,18
10119.0,F,40
10119.0,M,30
10120.0,F,58
10120.0,M,53
10121.0,F,12
10121.0,M,10
10201.0,F,1195
10201.0,M,1135
10202.0,F,646
10202.0,M,596
10203.0,F,307
10203.0,M,294
10204.0,F,84
10204.0,M,60
10205.0,F,2054
10205.0,M,2176
10206.0,F,374
10206.0,M,342
10301.0,F,75
10301.0,M,59
10302.0,F,20
10302.0,M,10
10303.0,F,12
10303.0,M,11
10304.0,F,71
10304.0,M,58
10305.0,F,41
10305.0,M,68
10306.0,F,415
10306.0,M,399
10307.0,F,381
10307.0,M,371
10308.0,F,9
10308.0,M,6
10309.0,F,9
10309.0,M,5
10310.0,F,87
10310.0,M,86
10311.0,F,40
10311.0,M,41
10312.0,F,477
10312.0,M,484
10401.0,F,2484
10401.0,M,2670
10402.0,F,897
10402.0,M,860
10403.0,F,1731
10403.0,M,1728
10501.0,F,90
10501.0,M,75
10502.0,F,385
10502.0,M,383
10503.0,F,169
10503.0,M,130
10504.0,F,115
10504.0,M,102
10505.0,F,95
10505.0,M,99
10506.0,F,33
10506.0,M,13
10507.0,F,73
10507.0,M,55
10508.0,F,42
10508.0,M,41
10509.0,F,215
10509.0,M,230
10510.0,F,34
10510.0,M,27
10511.0,F,48
10511.0,M,37
10512.0,F,207
10512.0,M,204
10513.0,F,251
10513.0,M,258
10514.0,F,376
10514.0,M,363
10515.0,F,107
10515.0,M,81
10516.0,F,39
10516.0,M,38
10517.0,F,51
