ubigeo_inei,departamento,provincia,distrito,region,macroregion_inei,altitud,latitud,longitud
10101.0,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,ORIENTE,2338.0,-6.2294,-77.8728
10102.0,AMAZONAS,CHACHAPOYAS,ASUNCION,AMAZONAS,ORIENTE,2823.0,-6.0325,-77.7108
10103.0,AMAZONAS,CHACHAPOYAS,BALSAS,AMAZONAS,ORIENTE,859.0,-6.8358,-78.0197
10104.0,AMAZONAS,CHACHAPOYAS,CHETO,AMAZONAS,ORIENTE,2143.0,-6.2556,-77.7008
10105.0,AMAZONAS,CHACHAPOYAS,CHILIQUIN,AMAZONAS,ORIENTE,2677.0,-6.0783,-77.7375
10106.0,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AMAZONAS,ORIENTE,2803.0,-6.935,-77.8542
10107.0,AMAZONAS,CHACHAPOYAS,GRANADA,AMAZONAS,ORIENTE,3041.0,-6.1064,-77.6286
10108.0,AMAZONAS,CHACHAPOYAS,HUANCAS,AMAZONAS,ORIENTE,2591.0,-6.1736,-77.8644
10109.0,AMAZONAS,CHACHAPOYAS,LA JALCA,AMAZONAS,ORIENTE,2869.0,-6.4847,-77.815
10110.0,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,AMAZONAS,ORIENTE,2226.0,-6.7075,-77.8039
10111.0,AMAZONAS,CHACHAPOYAS,LEVANTO,AMAZONAS,ORIENTE,2681.0,-6.3078,-77.8992
10112.0,AMAZONAS,CHACHAPOYAS,MAGDALENA,AMAZONAS,ORIENTE,1892.0,-6.3731,-77.9017
10113.0,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,AMAZONAS,ORIENTE,2210.0,-6.5944,-77.8086
10114.0,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,AMAZONAS,ORIENTE,2405.0,-6.2092,-77.6692
10115.0,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,AMAZONAS,ORIENTE,2421.0,-6.6181,-77.8022
10116.0,AMAZONAS,CHACHAPOYAS,OLLEROS,AMAZONAS,ORIENTE,3053.0,-6.0239,-77.6764
10117.0,AMAZONAS,CHACHAPOYAS,QUINJALCA,AMAZONAS,ORIENTE,3151.0,-6.0914,-77.6786
10118.0,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,AMAZONAS,ORIENTE,2254.0,-6.2292,-77.74
10119.0,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,AMAZONAS,ORIENTE,2339.0,-6.3372,-77.8806
10120.0,AMAZONAS,CHACHAPOYAS,SOLOCO,AMAZONAS,ORIENTE,2387.0,-6.2606,-77.7442
10121.0,AMAZONAS,CHACHAPOYAS,SONCHE,AMAZONAS,ORIENTE,2089.0,-6.2189,-77.7753
10201.0,AMAZONAS,BAGUA,BAGUA,AMAZONAS,ORIENTE,408.0,-5.6389,-78.5311
10202.0,AMAZONAS,BAGUA,ARAMANGO,AMAZONAS,ORIENTE,502.0,-5.4164,-78.4378
10203.0,AMAZONAS,BAGUA,COPALLIN,AMAZONAS,ORIENTE,693.0,-5.675,-78.4231
10204.0,AMAZONAS,BAGUA,EL PARCO,AMAZONAS,ORIENTE,626.0,-5.625,-78.4753
10205.0,AMAZONAS,BAGUA,IMAZA,AMAZONAS,ORIENTE,317.0,-5.1636,-78.2889
10206.0,AMAZONAS,BAGUA,LA PECA,AMAZONAS,ORIENTE,892.0,-5.6119,-78.4369
10301.0,AMAZONAS,BONGARA,JUMBILLA,AMAZONAS,ORIENTE,2081.0,-5.9044,-77.7978
10302.0,AMAZONAS,BONGARA,CHISQUILLA,AMAZONAS,ORIENTE,2057.0,-5.8975,-77.7861
10303.0,AMAZONAS,BONGARA,CHURUJA,AMAZONAS,ORIENTE,1399.0,-6.0194,-77.9519
10304.0,AMAZONAS,BONGARA,COROSHA,AMAZONAS,ORIENTE,2297.0,-5.8433,-77.8225
10305.0,AMAZONAS,BONGARA,CUISPES,AMAZONAS,ORIENTE,1912.0,-5.9283,-77.9461
10306.0,AMAZONAS,BONGARA,FLORIDA,AMAZONAS,ORIENTE,2251.0,-5.8261,-77.9694
10307.0,AMAZONAS,BONGARA,JAZAN,AMAZONAS,ORIENTE,1342.0,-5.9414,-77.9772
10308.0,AMAZONAS,BONGARA,RECTA,AMAZONAS,ORIENTE,2166.0,-5.9178,-77.7889
10309.0,AMAZONAS,BONGARA,SAN CARLOS,AMAZONAS,ORIENTE,1942.0,-5.9661,-77.9453
10310.0,AMAZONAS,BONGARA,SHIPASBAMBA,AMAZONAS,ORIENTE,1668.0,-5.9106,-77.9806
10311.0,AMAZONAS,BONGARA,VALERA,AMAZONAS,ORIENTE,1928.0,-6.0428,-77.9192
10312.0,AMAZONAS,BONGARA,YAMBRASBAMBA,AMAZONAS,ORIENTE,1887.0,-5.7353,-77.925
10401.0,AMAZONAS,CONDORCANQUI,NIEVA,AMAZONAS,ORIENTE,189.0,-4.5922,-77.8644
10402.0,AMAZONAS,CONDORCANQUI,EL CENEPA,AMAZONAS,ORIENTE,253.0,-4.4556,-78.1589
10403.0,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,AMAZONAS,ORIENTE,190.0,-4.0158,-77.7608
10501.0,AMAZONAS,LUYA,LAMUD,AMAZONAS,ORIENTE,2328.0,-6.1392,-77.9522
